SG,UK,US
0,0,0
0,0,0
0,0,0
8,1,4
21,9,3
35,4,2
14,10,2
15,39,11
42,368,432
76,2590,2693
229,7296,31732
366,21957,122216
536,31416,219712
1223,32250,218006
4056,32470,196864
6097,33292,198948
5017,23178,179071
4702,19291,155993
3578,15757,154982
3268,10467,144930
3026,8091,149555
2694,7173,149832
1491,6393,189540
1409,4604,286163
1250,2388,357337
1161,4192,409786
1951,5195,451590
2504,4896,456150
2255,5950,389930
643,7670,372650
606,7166,298936
402,8961,285469
245,13167,289517
384,21360,254891
170,25766,290921
132,41318,282225
71,95771,336233
35,118729,391357
59,151444,490953
53,160878,591199
36,157890,775709
63,177392,1043255
41,142807,1210058
51,103040,1164293
49,109519,1458524
60,126559,1530428
102,191347,1552102
113,285799,1419287
216,408648,1678933
206,323739,1529897
195,251578,1187695
228,169921,1030324
163,128751,829119
101,92501,639869
69,77469,460293
67,61056,480104
97,41972,415359
72,39919,377843
91,38147,382633
130,34446,447641
173,18359,472292
178,18048,475387
175,17063,404680
195,16439,373349
166,14185,284669
226,15919,233403
239,14128,177794
199,21704,128692
169,34480,111350
80,48954,100035
138,64256,81374
116,119749,86447
72,204531,124884
381,314325,231568
1106,265518,370330
936,185787,613453
685,186602,710994
408,198371,922756
306,225779,1043208
888,231008,1169879
1456,264258,1056280
3027,248438,1025704
6117,203689,1018878
11911,240295,855311
21312,243288,636671
21212,295215,582981
24466,324913,498092
25730,284468,518581
19959,244904,517559
18870,260186,561183
14985,285546,656030
9751,299620,632608
6280,331671,778529
4151,356478,832480
2548,543237,947470
2039,922492,2283974
4855,1200525,4341301
6202,745337,5648931
21923,644317,4953827
34159,535515,3617281
43470,571538,1700027
79424,506130,1242199
113143,311108,698509
124063,238333,493519
126463,274178,265508
106615,414480,249254
75581,567711,212833
51807,675660,233241
29101,282657,204609
22299,200018,237591
21868,186878,354807
12929,123622,429808
21588,66682,458887
24962,66383,611756
26751,59198,798544
26179,51514,731000
21966,7783,767983
22272,77022,750366
26505,90408,732320
48559,159254,853189
60365,117281,655382
65742,193190,952696
63110,138951,861027
54900,92699,911230
45519,64420,782644
34494,51927,804895
22797,39961,599582
15665,42704,698009
13168,20826,452895
15338,30786,406557
16066,36647,404103
23192,71260,434766
35226,48550,243271
58868,63520,251012
52098,56729,259993
33433,37593,254800
